tweet,hate,userID,likes,comments,views,shares,tags
!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,0,9CAA8AE2,712,183,283,246,23
!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,0,1069B853,856,828,625,1,5
!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,0,F4468A56,59,150,778,45,90
!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,0,978BF9DB,183,752,1473,460,87
!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,1,2AAE69DE,232,453,438,634,6
"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",1,525647ED,1116,512,811,410,57
"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",0,F4773C6C,18,934,989,486,97
!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,0,4355B5F5,893,570,1231,625,26
""" &amp; you might not get ya bitch back &amp; thats that """,0,B43D8F9B,121,664,1445,323,64
""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",1,ADB91BDB,54,415,1217,181,91
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",0,61D3C15D,352,137,594,358,26
""" Murda Gang bitch its Gang Land """,0,AD8D750A,739,645,1419,220,85
""" So hoes that smoke are losers ? "" yea ... go on IG",0,EC82875D,485,787,285,652,92
""" bad bitches is the only thing that i like """,0,11DFB111,1115,639,1207,559,47
""" bitch get up off me """,1,CBEC1D08,729,794,1379,122,65
""" bitch nigga miss me with it """,0,44A866AD,461,256,942,351,55
""" bitch plz whatever """,0,2D8F379E,1067,693,1106,245,13
""" bitch who do you love """,1,55377B5C,1195,913,761,387,36
""" bitches get cut off everyday B """,0,EF5DB949,203,628,912,409,7
""" black bottle &amp; a bad bitch """,0,8B178571,389,345,559,347,74
""" broke bitch cant tell me nothing """,0,59310AD6,910,777,59,89,69
""" cancel that bitch like Nino """,0,258D129C,839,629,1491,23,89
""" cant you see these hoes wont change """,0,2A4D0562,469,209,463,475,52
